Country_Name,Country_Code,Quarter,Goods Balance,Services Balance,Primary Income,Secondary Income,Current Account,Capital Account,Direct Investment,Portfolio Investment,Financial Derivatives,Other Investment,Financial Account,Net Errors & Omissions,Net lending/borrowing,Reserve Assets
Argentina,ARG,1990Q1,1935.0,-236.0,-1035.0,258.0,922.0,0.0,-66.0,352.0,0.0,771.0,935.0,13.0,922.0,-1117.700331355672
Argentina,ARG,1990Q2,2420.0,-49.0,-1408.0,107.0,1070.0,0.0,-114.0,44.0,0.0,-74.0,1202.0,132.0,1070.0,513.418606622585
Argentina,ARG,1990Q3,2556.0,-118.0,-1021.0,286.0,1703.0,0.0,-213.0,96.0,0.0,1690.0,1781.0,78.0,1703.0,-739.943117789315
Argentina,ARG,1990Q4,1717.0,-271.0,-936.0,347.0,857.0,0.0,-1443.0,817.0,0.0,213.0,853.0,-4.0,857.0,726.856334473382
Argentina,ARG,1991Q1,1151.0,-597.0,-1001.0,215.0,-232.0,0.0,-180.0,252.0,0.0,517.0,-261.0,-29.0,-232.0,-1589.678851856233
Argentina,ARG,1991Q2,1778.0,-229.0,-1215.0,124.0,458.0,0.0,-440.0,62.0,0.0,220.0,348.0,-110.0,458.0,-140.0829542056014
Argentina,ARG,1991Q3,1375.0,-353.0,-811.0,194.0,405.0,0.0,-982.0,-332.0,0.0,938.0,483.0,78.0,405.0,-196.5002410969708
Argentina,ARG,1991Q4,115.0,-420.0,-1233.0,260.0,-1278.0,0.0,-837.0,-465.0,0.0,-1855.0,-1342.0,-64.0,-1278.0,1119.90340704574
Argentina,ARG,1992Q1,-70.6,-810.5,-632.262320424524,188.4,-1324.96232042452,1.3,-277.419080770035,-1672.52003541727,0.0,679.579317743627,-727.359798443683,596.302521980841,-1323.66232042452,380.9958616958428
Argentina,ARG,1992Q2,49.1,-492.7,-560.958924775179,202.4,-802.158924775178,0.2,-221.893380770035,-921.35774847468,0.0,-668.147986890218,-801.399116134933,0.559808640244722,-801.9589247751779,836.210828717482
Argentina,ARG,1992Q3,-681.2,-574.4,-584.030691749082,158.5,-1681.13069174908,13.8,-836.656380770035,-1473.37110858746,0.0,-767.698511561807,-2639.7260009193,-972.395309170221,-1667.33069174908,-165.3857476067501
Argentina,ARG,1992Q4,-694.7,-678.3,-606.402621673902,239.9,-1739.5026216739,0.4,-1929.09438077004,-792.876556878433,0.0,-271.921377376218,-1710.89231502469,28.2103066492128,-1739.1026216738999,841.955912819592
Argentina,ARG,1993Q1,-119.6,-1087.34,-686.097714047936,125.3,-1767.73771404794,1.2,-262.204352524568,-1093.02536273858,0.0,-108.306313713979,-966.536028977127,800.001685070809,-1766.53771404794,-965.887491225202
Argentina,ARG,1993Q2,11.4,-721.1,-704.841628327807,165.9,-1248.64162832781,0.1,-278.962352524568,-22991.664228802,0.0,21801.4097431406,-1817.21683818604,-568.675209858232,-1248.54162832781,8622.421654755644
Argentina,ARG,1993Q3,-882.8,-702.6,-727.499060936846,108.0,-2204.89906093685,14.4,-792.722352524568,-4542.33552737565,0.0,1151.5992969039,-2270.45858299632,-79.9595220594721,-2190.49906093685,1683.637528183002
Argentina,ARG,1993Q4,-1378.9,-808.3,-950.411536852387,153.0,-2984.61153685239,0.4,-754.126352524568,-5775.44697183556,0.0,-534.049448042373,-4875.6227724025,-1891.41123555012,-2984.21153685239,1781.967005675442
Argentina,ARG,1994Q1,-1468.2,-1305.1,-758.441182851308,84.5,-3447.24118285131,1.3,-397.371969566087,-2543.43867504678,0.0,-755.012937928088,-4232.82358254096,-786.882399689648,-3445.94118285131,-1119.72536753893
Argentina,ARG,1994Q2,-641.5,-760.7,-828.053164901866,158.2,-2072.05316490187,0.2,-676.680969566087,460.95741350195,0.0,-126.970448412249,-285.694004476387,1786.15916042548,-2071.85316490187,-82.8510922328844
Argentina,ARG,1994Q3,-984.9,-816.3,-872.813958266419,83.6,-2590.41395826642,15.5,-611.012969566087,-4114.90165230374,0.0,-126.813857010873,-5004.7284788807,-2429.81452061428,-2574.91395826642,-672.5019929149036
Argentina,ARG,1994Q4,-1040.9,-900.3,-1099.44466407503,170.9,-2869.74466407503,0.5,-937.021969566087,-3263.92508155533,0.0,-671.725032019562,-3558.67208314098,-689.427419065951,-2869.24466407503,1200.274255760505
Argentina,ARG,1995Q1,-304.3,-1195.7,-1126.11995794794,104.4,-2521.71995794794,0.0,-496.687981805422,1718.90486626975,0.0,1481.00096901695,-3191.78214651873,-670.062188570786,-2521.71995794794,-6043.848091143207
Argentina,ARG,1995Q2,1905.22,-715.1,-1217.39434967634,222.2,194.925650323655,0.1,-748.649430187126,-746.976760224705,0.0,-129.895938372632,767.477871215537,572.452220891882,195.025650323655,802.764763663372
Argentina,ARG,1995Q3,708.694,-733.6,-1097.60029514279,113.4,-1009.10629514279,13.4,-1164.35650750824,-1127.46053566776,0.0,-296.032671158362,-2308.84971433436,-1313.14341919157,-995.70629514279,29.1332604147257
Argentina,ARG,1995Q4,27.901,-771.8,-1194.95765152376,156.8,-1782.05665152375,0.7,-1702.58048406388,-2157.95711352324,0.0,-2316.40410727705,-3055.94170486418,-1274.58505334043,-1781.3566515237499,2900.619934613962
Argentina,ARG,1996Q1,126.6,-1160.91070894773,-1186.49015752066,92.3,-2128.5008664684,3.2,-1102.91487797914,-3796.20105436036,0.0,737.354207856145,-4015.76172448335,-1890.46085801496,-2125.3008664684003,-412.9477173402159
Argentina,ARG,1996Q2,1284.3,-722.417927167085,-1201.41113948261,153.2,-486.329066649693,-0.6,-613.240266166906,-1942.65156413786,0.0,828.536068267208,-457.355762037556,29.5733046121368,-486.929066649693,1300.495281749301
Argentina,ARG,1996Q3,315.1,-841.147872040668,-1176.19550408908,80.8,-1621.44337612975,44.5,-1625.88788538046,-1563.01138150639,0.0,1184.78264075607,-2433.11662613078,-856.173250001034,-1576.94337612975,-332.1514884747403
Argentina,ARG,1996Q4,25.4,-814.372915569715,-1900.63193566772,155.9,-2533.70485123743,3.7,-2005.74465712074,-2292.32804883708,0.0,-6.72668141328144,-1409.7993873711,1120.20546386633,-2530.00485123743,2702.283845695758
Argentina,ARG,1997Q1,-307.5,-1393.38017587149,-1476.66174139489,94.6746468446638,-3082.86727042172,6.7,-498.946007303914,-4317.46177150501,0.0,1221.6085397152,-3879.79923909372,-803.631968672,-3076.1672704217203,-324.2929098587438
Argentina,ARG,1997Q2,196.0,-917.027513812647,-1520.12575837009,156.95407188817,-2084.19920029456,0.0,-1005.0556274843,-1682.75294173093,0.0,757.474038483425,-380.334530731808,1703.86466956275,-2084.19920029456,1509.880413501978
Argentina,ARG,1997Q3,-706.5,-1133.38577255567,-1563.62801473196,101.355634403632,-3302.158152884,24.5,-1651.34300119974,-4134.09354660977,0.0,945.368148876816,-5219.06839893269,-1941.41024604869,-3277.658152884,-305.8513215670041
Argentina,ARG,1997Q4,-1314.6,-931.421775190915,-1584.69541525394,161.873218705726,-3668.84397173912,35.1,-2352.10941645665,-890.113794535382,0.0,-4034.06508819041,-4889.28829918244,-1255.54432744332,-3633.7439717391203,2450.810286699009
Argentina,ARG,1998Q1,-1202.9,-1451.79886733168,-1858.35697275844,90.8930073400265,-4422.1628327501,-3.2,-474.18155432733,-2670.49106178571,0.0,312.113502383794,-3662.55911372925,762.803719020849,-4425.3628327501,-572.775999834841
Argentina,ARG,1998Q2,-20.2,-937.914936993155,-1760.95928769032,130.035402420021,-2589.03882226345,31.9,-1385.26678939834,-2622.61500179432,0.0,-374.974675248883,-2951.85646644154,-394.717644178083,-2557.13882226345,1479.439975034796
Argentina,ARG,1998Q3,-918.0,-1076.5002736031,-1846.75613806046,94.1155376762942,-3747.14087398727,42.6,-1600.90962236921,-2164.19297259155,0.0,-1774.14848941858,-4380.25108437934,-675.710210392063,-3704.54087398727,1361.26300812552
Argentina,ARG,1998Q4,-981.1,-953.133896260759,-1938.44587155011,149.024254560622,-3723.65551325025,1.6,-1504.82216598668,-1330.47941322055,0.0,-2691.9298576477,-3849.23143685494,-127.175923604691,-3722.05551325025,1822.303271644539
Argentina,ARG,1999Q1,-465.1,-1355.19521096711,-1721.80051729416,105.990949094273,-3436.104779167,12.1,-3388.77793937637,232.538928052292,0.0,524.652606082747,-3639.78640524133,-215.781626074327,-3424.004779167,-765.7963012394617
Argentina,ARG,1999Q2,692.7,-808.839321900001,-1908.2050719585,102.046570698533,-1922.29782315997,2.2,-14264.3499398007,7495.29291106759,0.0,4245.00329685747,-2485.85373187563,-565.755908715663,-1920.09782315997,60.65491649791889
Argentina,ARG,1999Q3,-538.1,-989.053130328826,-1902.32379277259,105.739020227739,-3323.73790287368,66.7,-2736.42922116012,481.102726967327,0.0,1343.33053954535,-2788.59595464744,468.441948226234,-3257.03790287368,-1508.505633309643
Argentina,ARG,1999Q4,-504.9,-937.270392639183,-1958.04795499502,139.533524819057,-3260.68482281514,68.1,-1867.85628930557,-1424.0229679056,0.0,-4262.61779682135,-3506.99705403253,-314.412231217383,-3192.58482281514,4226.292930367191
Argentina,ARG,2000Q1,157.7,-1450.48890566972,-2047.50125449987,90.8380176736765,-3249.45214249591,25.9,-2008.90027299883,-1389.59682468913,0.0,-173.483230469723,-3997.58032815768,-774.028185661765,-3223.5521424959097,-92.2584114379538
Argentina,ARG,2000Q2,1358.1,-934.912152476602,-1900.61879352392,102.681531400589,-1374.74941459993,24.4,-886.586306224493,-1797.35655083184,0.0,2661.73548208891,1050.29262503258,2400.64203963251,-1350.34941459993,1310.644544263572
Argentina,ARG,2000Q3,498.8,-1035.98552577689,-1883.24571921324,99.2042870461584,-2321.22695794397,44.8,-6146.70728896576,4389.76873279642,0.0,-693.527706484862,-4646.66626265421,-2370.23930471024,-2276.4269579439697,-1767.645568790023
Argentina,ARG,2000Q4,433.5,-858.596888033346,-1716.40460138443,106.312111829969,-2035.1893775878,10.8,-475.092271615884,1380.79023666056,0.0,-3492.14782865671,-1477.04986361204,547.339513975765,-2024.3893775878,-627.198324435846
Argentina,ARG,2001Q1,489.1,-1484.82573650463,-1947.75575641242,114.12502994744,-2829.35646296962,54.8,-1562.43241671331,2475.52484821937,0.0,-961.295537232957,-3934.2031057269,-1159.64664275729,-2774.55646296962,-6439.901891861808
Argentina,ARG,2001Q2,2047.5,-1007.77737515511,-2090.41545501308,98.607683842248,-952.085146325939,-2.2,-732.919198345926,1294.93351687016,0.0,-2186.48678326481,-3063.57246474057,-2109.28731841463,-954.2851463259391,-2409.419388484677
Argentina,ARG,2001Q3,2320.7,-883.262741070641,-2089.20095343969,93.6554029728249,-558.1082915375,46.2,-621.937012033221,2179.79127310692,0.0,-125.241705276921,1171.31255579678,1683.22084733428,-511.9082915375,-6361.860270996589
Argentina,ARG,2001Q4,2512.9,-472.523503605437,-1599.35653744394,118.106700688837,559.126659639463,57.7,912.028484823626,3553.06964141538,0.0,1370.27951924272,-661.32235451827,-1278.14901415773,616.8266596394631,-6193.752352686813
Argentina,ARG,2002Q1,3769.0,-557.15,-2058.22,95.84,1249.47,37.9,-1754.59,1772.55,0.0,2543.77,375.13,-912.24,1287.3700000000001,-3894.125099586575
Argentina,ARG,2002Q2,4742.0,-365.95,-1966.59,120.6,2530.06,23.1,-209.5,1183.61,0.0,4185.39,2031.46,-521.7,2553.16,-4975.994563478767
Argentina,ARG,2002Q3,4545.5,-299.44,-1704.57,120.8,2662.29,149.0,475.6,-124.44,0.0,2493.01,2629.05,-182.24,2811.29,-1792.446127671777
Argentina,ARG,2002Q4,4104.7,-221.38,-1761.3,202.77,2324.79,196.11,-1287.56,1808.61,0.0,723.21,2258.37,-262.53,2520.9,-2739.892794355046
Argentina,ARG,2003Q1,4200.6,-401.6,-1914.74,111.89,1996.15,31.85,60.39,2003.04,0.0,-963.95,1169.12,-858.88,2028.0,-2630.816092321741
Argentina,ARG,2003Q2,5293.3,-291.09,-1869.9,143.47,3275.78,0.4,363.73,2145.27,0.0,-1664.12,2496.31,-779.87,3276.1800000000003,-1852.271802878576
Argentina,ARG,2003Q3,4029.5,-385.59,-2141.93,119.53,1621.51,35.6,299.25,588.85,0.0,-564.46,1559.61,-97.5,1657.11,-479.76589489999
Argentina,ARG,2003Q4,3292.8,-126.42,-2049.12,129.23,1246.49,2.2,-1601.6,3020.92,0.0,-445.39,1597.67,348.98,1248.69,-4114.503236956089
Argentina,ARG,2004Q1,2941.2,-351.12,-2190.2,115.85,515.73,3.3,-1524.21,3829.96,0.0,-2447.3,741.71,222.68,519.03,-4085.796276913255
Argentina,ARG,2004Q2,4186.4,-296.22,-2267.05,166.03,1789.16,3.2,-699.01,1121.18,0.0,-1347.02,1644.45,-147.91,1792.3600000000001,797.453527322571
Argentina,ARG,2004Q3,3267.0,-402.03,-2363.42,108.16,609.71,37.1,-773.05,2242.16,0.0,-1878.64,309.74,-337.07,646.8100000000001,-2300.139704721654
Argentina,ARG,2004Q4,2883.1,-294.72,-2462.14,170.95,297.19,152.7,-452.45,2222.31,0.0,-1672.67000563282,1244.48999436718,794.59999436718,449.89,-1404.90863428823
Argentina,ARG,2005Q1,2779.8,-311.25,-2465.68,122.61,125.48,47.0,-1045.28,3123.02,0.0,-2220.56,708.01,535.53,172.48000000000002,-2412.34572197608
Argentina,ARG,2005Q2,3511.6,-433.22,-1468.79,124.69,1734.28,3.3,-2099.96,-624.98,0.0,1947.16,2155.57,417.99,1737.58,4309.73584357736
Argentina,ARG,2005Q3,3838.45,-252.43,-1738.88,107.85,1954.99,37.4,59.21,-911.28,0.0,-176.66,1531.26,-461.13,1992.39,3463.300052481078
Argentina,ARG,2005Q4,3004.2,-41.93,-1632.01,128.74,1459.0,1.2,-868.16,-1200.3,0.0,633.68,1077.89,-382.31,1460.2,2292.757936950341
Argentina,ARG,2006Q1,2906.3,-215.224057727681,-2177.7488594003,189.939790660481,703.266873532502,10.4,-1375.7522158134,-2253.09621789303,-15.9568186753769,11059.781861427,781.036609045184,67.369735512682,713.666873532502,2963.971806692185
Argentina,ARG,2006Q2,4123.5,-320.291967439859,-2159.04006717335,272.426485792557,1916.59445117935,39.9,-672.391114497571,-1970.56478315304,-32.3651851740977,813.193860376086,1980.88277755137,24.3883263720254,1956.49445117935,3839.64787692299
Argentina,ARG,2006Q3,3255.5,-268.624010135983,-1690.74355227089,220.73404160154,1516.86647919467,45.4304121022431,-1116.86682116257,-802.528171834329,-37.9954260251855,659.816501122787,1232.3860821007,-329.910809196213,1562.2968912969131,2529.715072409298
Argentina,ARG,2006Q4,3744.3,41.1826084628115,-1695.07750405698,271.66961189218,2362.07471629801,1.89391570255773,66.3830858412053,-2213.20761585812,212.961965181665,1629.18798410554,3486.12541927029,1122.15678726972,2363.968632000568,3790.600104685195
Argentina,ARG,2007Q1,2424.5,-96.7307768281007,-1957.66188985221,231.694754102176,601.802087421871,11.5,-717.428792641087,-2299.26154157734,7.88817309237557,-174.591059326031,1476.29677954792,862.994692126047,613.302087421871,4659.591840091163
Argentina,ARG,2007Q2,3984.2,-361.949674149022,-1881.32894824595,285.26917757508,2026.19055518011,6.68319644540191,-702.354074195666,-5662.70370893534,26.8528357607342,960.15724002138,961.592292651113,-1071.2814589744,2032.873751625512,6339.527465010055
Argentina,ARG,2007Q3,2346.262,-482.472257949415,-1665.61993150223,251.095016123226,449.264826671577,102.210715522771,-1530.03204193125,1488.81716708212,-17.9536004130181,1597.68039845733,696.761923195183,145.286381000835,551.475542194348,-841.5452762181267
Argentina,ARG,2007Q4,4797.1,-40.3293147847394,-2090.0449938475,304.554732245369,2971.28042361313,0.751977000000001,-2019.10989201657,-994.814814093143,547.8,2298.78059038272,2764.795884273,-207.23651634013,2972.03240061313,2932.994768222015
Argentina,ARG,2008Q1,3860.4,-556.7722602209,-2254.53847392727,274.125298317276,1323.2145641691,43.631,-3137.00136673117,1033.61562451162,-12.4,1192.51157784982,2610.93583563028,1244.09027146117,1366.8455641691,3534.250188228238
Argentina,ARG,2008Q2,2942.3,-706.837441177241,-2229.82942429935,313.626659414817,319.259793938225,14.7511447920026,-1946.19189385618,2143.69337454994,59.9,1695.57675539155,-667.961763914693,-1001.97270264492,334.0109387302276,-2621.056873335819
Argentina,ARG,2008Q3,5658.472,-699.55743265897,-2226.49065358187,259.494906508216,2991.91882026738,123.8,-1854.0751498344,4012.07822025137,11.8,2415.12652099956,4535.49959141653,1419.78077114915,3115.71882026738,-49.38048577768559
Argentina,ARG,2008Q4,3102.1,-259.167892646136,-2323.3321482299,267.213191111418,786.813150235379,2.87787193487515,-1397.35013022537,689.201843996941,875.4,754.688805814439,75.4805195860174,-714.210502584237,789.6910221702542,-844.9810739410975
Argentina,ARG,2009Q1,3998.7,-630.80834364038,-2372.68264403296,195.482542041553,1190.69155436822,22.0682967734612,-1329.37577451031,826.394806487892,-0.9,1300.3478927295,1063.58692470708,-149.172926434598,1212.7598511416813,267.6242519694064
